SETOR,TICKET,STATUS
VAREJO,MGLU3,FUNDAMENTOS OK
CONSTRUCAO,GOAU3,FUNDAMENTOS OK
COMUNICACAO,OIBR3,ESPECULACAO
BANCARIO,BIDI4,FUNDAMENTOS OK
CONSTRUCAO,WEGE3,FUNDAMENTOS OK
BANCARIO,B3SA3,FUNDAMENTOS OK
IMOVEIS,JHSF3,FUNDAMENTOS OK
ALIMENTACAO,CAML3,FUNDAMENTOS OK
ESSENCIAL,TAEE11,FUNDAMENTOS OK
VAREJO,WHRL4,FUNDAMENTOS OK
SEGUROS,WIZS3,FUNDAMENTOS OK
GOVERNO,PETR4,ESPECULACAO
BANCARIO,ITSA4,FUNDAMENTOS OK
SAUDE,FLRY3,FUNDAMENTOS OK
VAREJO,ABEV3,FUNDAMENTOS OK
VAREJO,VVAR3,FUNDAMENTOS OK
ESSENCIAL,TIET4,FUNDAMENTOS OK
VAREJO,POSI3,CONFIANCA NA EMPRESA
VAREJO,CVCB3,CONFIANCA NA EMPRESA
SEGUROS,IRBR3,ESPECULACAO
